chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,verification_failures,block_time_ms,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,mempool_final_size_bytes,mempool_final_tx_count,total_tx_generated,algo_counts_Ed25519,algo_distribution_Ed25519,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.25,2,25,3571755.6,1663.16,163.36276311794197,304.32882927407286,347.0547533265662,0.04,4157.900000000001,85.2424,314.4068,0.0,0,400,41579,0,0,0,0,41579,31161,0.7494408234926285,3117,5120,2181,0.07496572789148369,0.12313908463407008,0.05245436398181774
solana,0.25,3,25,3461240.0,1659.4,142.46283900416626,294.31429312830244,345.1233463610499,0.0,4148.5,72.7339,310.9589,0.0,0,400,41485,0,0,0,0,41485,31271,0.7537905266963962,3120,5054,2040,0.07520790647221888,0.12182716644570327,0.04917440038568157
solana,0.25,4,25,3496585.12,1650.92,153.7532438436975,268.9957769112444,314.4859811641937,0.04,4127.3,69.515,339.1572,0.0,0,400,41273,0,0,0,0,41273,30942,0.7496910813364669,3091,5174,2066,0.07489157560632859,0.12536040510745525,0.05005693794974923
solana,0.25,5,25,3540066.2,1662.32,158.3686046344912,278.58056051387155,342.7639446579266,0.04,4155.8,74.7102,324.4064,0.0,0,400,41558,0,0,0,0,41558,31120,0.7488329563501612,3124,5207,2107,0.07517204870301747,0.12529476875691803,0.05070022618990327
solana,0.25,6,25,3530082.76,1668.56,152.01765872026834,279.09304425819107,317.25283198434715,0.08,4171.4,71.8659,301.1511,0.0,0,400,41714,0,0,0,0,41714,31250,0.749148966773745,3263,5113,2088,0.07822313851464736,0.12257275734765306,0.05005513736395455
solana,0.25,7,25,3585723.4,1677.72,168.9489890137569,314.8210229809891,390.0906953738049,0.16,4194.3,76.0567,294.5998,0.0,0,400,41943,0,0,0,0,41943,31406,0.7487781036168133,3086,5307,2144,0.07357604367832535,0.12652886059652385,0.051116992108337506
solana,0.25,8,25,3520532.68,1667.24,166.54730483183437,316.072276158822,362.90971872784,0.2,4168.1,70.3595,328.7442,0.0,0,400,41681,0,0,0,0,41681,31209,0.7487584271010772,3175,5243,2054,0.07617379621410235,0.125788728677335,0.04927904800748543
solana,0.25,9,25,3545840.68,1671.76,133.09272498015258,266.420110968778,316.7578133533856,0.04,4179.4,61.8187,306.36,0.0,0,400,41794,0,0,0,0,41794,31243,0.7475474948557209,3201,5277,2073,0.07658994113987654,0.12626214289132412,0.049600421113078434
solana,0.25,10,25,3548787.2,1667.84,148.25433780385328,278.80985851879393,325.3642193313288,0.04,4169.599999999999,66.2702,327.3929,0.0,0,400,41696,0,0,0,0,41696,31238,0.7491845740598618,3150,5192,2116,0.07554681504221028,0.12452033768227168,0.05074827321565618
solana,0.3,1,25,4120685.36,1668.52,141.37286134675594,303.71656778855794,362.843115733245,0.12,4171.3,78.1834,401.789,0.000541,1,400,41713,0,0,0,0,41713,29301,0.7024428835135329,3731,6136,2545,0.0894445376741064,0.1471004243281471,0.06101215448421356
